"PackageFile","Sort","Aggregate","FuzzyLookup","FastLoadInactive","NoTABLOCK","LookupPartialNoCache","SELECT*","OLEDBCommand","CartesianCrossJoin","NonSargableFunctionPredicate","OnTheFlyFunctionExpression","NestedViewReference","PivotWindowFunction","UnionAll","NoLockAdvisory","MergeJoinComponent","ImplicitConversionIndicator","ScriptComponent","ADO.NET_or_ODBC_Provider","ExplicitBufferOrThreadSetting","TempStoragePathSetting","DestinationCommitSizeSetting","ExecutePackageTask","CheckpointSetting","FullReloadIndicator"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_KKD.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51","0","72","21","0","21","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_LAP_HARIAN%201.dtsx","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","20","0","63","18","0","18","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_LAP_HARIAN.dtsx","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","54","0","67","20","0","18","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_LAP_HARIAN_ALL.dtsx","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","18","0","63","18","0","18","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_MASTER_DIVISI_JABATAN.dtsx","0","0","0","0","0","0","27","0","0","0","0","0","0","0","0","0","297","0","81","0","0","27","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_PNNPerwatan%206%20bulan.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","0","99","36","0","36","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_PNNPerwatan.dtsx","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","36","0","99","36","0","36","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_SPB.dtsx","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","31","0","92","11","0","31","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_Trans_Absensi.dtsx","0","0","0","0","0","0","0","0","0","19","0","0","0","2727","0","0","9","0","63","0","0","9","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_Trans_Absensi_104.dtsx","0","0","0","0","0","0","0","0","0","3","0","0","0","303","0","0","2","0","9","0","0","2","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_Trans_Absensi_15.dtsx","0","0","0","0","0","0","0","0","0","3","0","0","0","303","0","0","1","0","7","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_Trans_Absensi_170.dtsx","0","0","0","0","0","0","0","0","0","3","0","0","0","303","0","0","1","0","7","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_Trans_Absensi_171.dtsx","0","0","0","0","0","0","0","0","0","3","0","0","0","303","0","0","1","0","7","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_Trans_Absensi_172.dtsx","0","0","0","0","0","0","0","0","0","3","0","0","0","303","0","0","1","0","7","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_Trans_Absensi_174.dtsx","0","0","0","0","0","0","0","0","0","3","0","0","0","303","0","0","1","0","7","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_Trans_Absensi_176.dtsx","0","0","0","0","0","0","0","0","0","3","0","0","0","303","0","0","1","0","7","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_Trans_Absensi_33.dtsx","0","0","0","0","0","0","0","0","0","3","0","0","0","303","0","0","1","0","7","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_Trans_Absensi_35.dtsx","0","0","0","0","0","0","0","0","0","3","0","0","0","303","0","0","1","0","7","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_Trans_Absensi_72.dtsx","0","0","0","0","0","0","0","0","0","3","0","0","0","303","0","0","1","0","7","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_Trans_Gaji.dtsx","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","50","0","0","10","0","0","0"
