package_id,name,package_guid,description,package_format_version,version_major,version_minor,version_build,version_comments,version_guid,project_id,entry_point,validation_status,last_validation_time
95318,LKP_SAP_BILLING.dtsx,7F5BF345-17E6-412C-B864-D535F07D6955,,8,1,0,10,,E74ADEB9-EB25-4FE0-96BD-87064633FB6A,1,1,N,NULL
95322,LKP_SAP_FAGLFLEXT.dtsx,C8E69DE3-8A18-4808-A9C5-69CF1E826410,,8,1,0,4,,2897226B-2CE3-4468-91D8-822EC589A0F2,1,1,N,NULL
95336,LKP_SAP_Purchasing.dtsx,1B69F61F-36BC-4843-8538-CFE2E6375B70,,8,1,0,110,,E5468B7C-E373-4852-91AD-A4177BF9DE92,1,1,N,NULL
95313,LKP_SAP_VBAK.dtsx,6A0FA583-C8B0-4FDC-BECE-2F9AE697FE4C,,8,1,0,4,,F7A8DABA-236D-4FFA-B2E1-E03D5AB62161,1,1,N,NULL
95320,LKP_SAP_VBAP.dtsx,5825B3F5-33B6-4A31-8617-C538C20197B6,,8,1,0,17,,7990664E-6E12-4711-8357-89FFC9E5643C,1,1,N,NULL
95308,LKP_SAP_VBKD.dtsx,C1C98E08-BDF7-4D4B-A987-16D841ED5B5C,,8,1,0,2,,58AFFC96-154B-43E3-A919-60559A7D4F3C,1,1,N,NULL
95319,LKP_SAP_VBRP.dtsx,E9CD8A16-DFFF-41A5-9227-BA62DDD8B65C,,8,1,0,14,,2443D97B-5A9C-4C98-B7D8-E047AF59FD20,1,1,N,NULL
95285,LKP_Trans_Gaji.dtsx,466C991B-99DD-49B9-A63B-DA488F6E6C91,,8,1,0,2,,39DB85E2-7AAF-4F9F-912F-A705419BFD6F,1,1,N,NULL
95282,LKP_Trans_Kode_Absensi.dtsx,32BBE0C0-6923-4D2F-94BF-D2AD3B60448E,,8,1,0,3,,76E8B62C-CEA2-4C70-9AD2-C560072AAD4D,1,1,N,NULL
95226,Package1.dtsx,ACC9B144-F112-4C70-976E-05B9200A9618,,8,1,0,1,,5A58B369-B179-4826-AA7F-5EE07ED4A850,1,1,N,NULL
95236,Package3.dtsx,90F5BFAD-4903-491E-9429-78A1FB4963E8,,8,1,0,2,,3FD92FC0-9AEE-40DB-B174-1E840E2FFD1A,1,1,N,NULL
95238,Package4.dtsx,11CEFD5D-6399-4B87-87FF-D3DF72B9E1FB,,8,1,0,0,,19D0DECB-4F09-4FBF-9D6E-CF4214816858,1,1,N,NULL
95273,STG_1SAP_LFA_LFB.dtsx,A0422249-0844-411D-88E2-DBAD223AC5F3,,8,1,0,11,,6069173F-1221-4824-96CE-8154ED9EB0E1,1,1,N,NULL
95264,STG_2MON_COVP_MATNR.dtsx,8C4C44C5-25DF-4ACF-A6EF-809FDC59C1A1,,8,1,0,76,,6D959583-F6C9-42A0-B706-CA6576A64FA3,1,1,N,NULL
95263,STG_2MON_COVP_MILL.dtsx,40FE03D8-4714-48FC-A089-05DB85A4AC56,,8,1,0,188,,310FE628-5BA6-4540-A3AD-88698DE05D23,1,1,N,NULL
95268,STG_2MTR_MAP_IO.dtsx,59095CE7-512C-4AD4-A4BA-B54C72AAD96F,,8,1,0,28,,81DD6DD3-E2C4-4D32-87EA-F00712B5E0DB,1,1,N,NULL
95261,STG_2SAP_COEPR.dtsx,BD4CD7AE-F91E-40E3-A6C9-0B5E6F230C3E,,8,1,0,17,,8CA3FFFE-9AF7-4EF0-B031-81ADAC48F5EA,1,1,N,NULL
95251,STG_3MON_COS_F01_TD.dtsx,74687E36-14B0-4C54-A5BE-43D9BD0852BF,,8,1,0,48,,3B58F97D-A507-4357-9B44-39497014ED66,1,1,N,NULL
95279,STG_Absensi.dtsx,56DB81E9-F999-4394-B0F0-DAD03D4AF10E,,8,1,0,90,,2B34D18B-B0D0-4F71-99E4-024B66CB6EFA,1,1,N,NULL
95197,STG_BGASTG_DataBlok.dtsx,6BC44BD6-C14E-4E7B-83A9-5E894D67A89D,SSIS Package Description,8,1,0,3,,81120CCA-F595-46D8-804E-0C5BA00F6A4B,1,1,N,NULL
95196,STG_BLOK_t_blok_kk.dtsx,F0607E6E-1D67-4620-82AB-54926AD51C62,SSIS Package Description,8,1,0,47,,C465CC2F-F447-490E-A6D1-275E3732C3D1,1,1,N,NULL
95243,STG_BPS_BudgetActivity.dtsx,AE35E5C1-C617-408F-9D8E-999178762E0E,SSIS Package Description,8,1,0,3,,188BABD1-F4FD-427A-9671-8D3B6A588267,1,1,N,NULL
95286,STG_BPS_Karyawan.dtsx,6C986D9B-AF8D-4662-A6F2-8BCE939299AD,,8,1,0,5,,71180659-69C0-4F1A-8F6D-26A9946546A3,1,1,N,NULL
95237,STG_BPS_KKD.dtsx,104B6657-43EF-41C9-A137-D56B0A0A632F,SSIS Package Description,8,1,0,84,,8BEBBB07-75E5-4F75-AB06-6F585EEA1AEE,1,1,N,NULL
95228,STG_BPS_LAP_HARIAN 1.dtsx,E3A68325-94C4-4846-B38C-37D466C14513,SSIS Package Description,8,1,0,104,,7E6FA44C-3412-4BB8-8347-79854AB4A419,1,1,N,NULL
95271,STG_BPS_LAP_HARIAN.dtsx,686158C2-AB73-4ED8-AF84-F00B7EE3CB93,SSIS Package Description,8,1,0,141,,E0411E2C-B7BB-4872-988C-0A9E3263D0A9,1,1,N,NULL
95227,STG_BPS_LAP_HARIAN_ALL.dtsx,2EAD88AA-DA08-4218-8EB1-D65A11A553E6,SSIS Package Description,8,1,0,99,,071D1831-A3A8-4C7C-9EF2-AF90CBC046C1,1,1,N,NULL
95289,STG_BPS_MASTER_DIVISI_JABATAN.dtsx,EA04D2EC-5837-41E8-865C-026ECBCC6A80,,8,1,0,40,,9B6C2F8E-AE2B-46D4-BB94-E116A2817EBB,1,1,N,NULL
95242,STG_BPS_PNNPerwatan 6 bulan.dtsx,24D468FF-A68A-457D-AB8C-60A53A8C6246,SSIS Package Description,8,1,0,130,,98AAADF3-F1A2-4DC3-8B5A-344B001F33FA,1,1,N,NULL
95347,STG_BPS_PNNPerwatan.dtsx,B7F082F8-138B-4C7D-BB31-F153FA6F0EBD,SSIS Package Description,8,1,0,222,,6B5DF213-0F9E-4D5A-87C2-0C0C15EAE9F9,1,1,N,NULL
95334,STG_BPS_SPB.dtsx,A57B2DD4-BB8B-4585-BC60-9D7724AD4AD8,SSIS Package Description,8,1,0,117,,16DCFF63-D583-4CC8-8426-CC4C1DB93312,1,1,N,NULL
