job_id,job_name,job_enabled,step_id,step_name,subsystem,database_name,command,on_success_action,on_fail_action,retry_attempts,retry_interval,last_run_outcome
62AC2A82-AAB7-4F65-B4FF-801A7F61DFD0,Laporan Pagi Data Processing,0,1,Staging - Transaksi Lap Harian,SSIS,master,"/ISSERVER ""\""\SSISDB\BGADWH_SSIS\BGADWH_SSIS\GroupSTG_LapHarianTrans.dtsx\"""" /SERVER ""\""BGASVR-DWH-DEV\"""" /X86 /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",1,2,0,0,0
CF3B9835-57CD-4017-AE1A-1F892CBE5B15,LAPORAN PANEN DAN PENGENDALIAN GULMA,1,1,Fact,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\DWH_LKK_PROJECT_NEW\FACT_LKK_BIAYA_UPAH_PANEN_PENGENDALIAN_GULMA.dtsx\"""" /SERVER ""\"".\"""" /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",3,2,0,0,1
CF3B9835-57CD-4017-AE1A-1F892CBE5B15,LAPORAN PANEN DAN PENGENDALIAN GULMA,1,2,SSAS,ANALYSISCOMMAND,master,"{   ""refresh"": {     ""type"": ""full"",     ""objects"": [       {         ""database"": ""LKK Per Divisi""       }     ]   } }",1,2,0,0,1
63A3CEA7-786A-4D03-ADB0-ED8D81C7294E,Laporan Uang Muka,1,1,Fact Laporan Uang Muka,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\UANG_MUKA_PROJECT\FACT_UANG_MUKA.dtsx\"""" /SERVER ""\""BGASVR-DWH-DEV\"""" /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",1,2,0,0,1
840F2F31-8C8B-41A6-804B-11FEC3E6C541,MILL_COST_and_MILL_ENGINEERING,1,1,Staging Mill Cost,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\MILL_COST_PROJECT\STG_FOR_DIM_MILL_COST.dtsx\"""" /SERVER ""\"".\"""" /X86 /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",3,2,0,0,1
840F2F31-8C8B-41A6-804B-11FEC3E6C541,MILL_COST_and_MILL_ENGINEERING,1,2,Dimensi,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\MILL_COST_PROJECT\DIM_FOR_FACT_MILL_COST.dtsx\"""" /SERVER ""\"".\"""" /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",3,2,0,0,1
840F2F31-8C8B-41A6-804B-11FEC3E6C541,MILL_COST_and_MILL_ENGINEERING,1,3,Fact Mill Cost,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\MILL_COST_PROJECT\FACT_MILL_COST.dtsx\"""" /SERVER ""\"".\"""" /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",3,2,0,0,1
840F2F31-8C8B-41A6-804B-11FEC3E6C541,MILL_COST_and_MILL_ENGINEERING,1,4,Fact Mill Cost Dashboard,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\MILL_COST_PROJECT\FACT_MILL_COST_DASHBOARD.dtsx\"""" /SERVER ""\"".\"""" /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",3,2,0,0,1
840F2F31-8C8B-41A6-804B-11FEC3E6C541,MILL_COST_and_MILL_ENGINEERING,1,5,Fact Mill Engineering,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\CIVIL_ENGINEERING_PROJECT\FACT_CIVIL_ENGINEERING.dtsx\"""" /SERVER ""\"".\"""" /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",1,2,0,0,1
7CC55A8B-7C37-418D-BE28-6323810E0F0D,MMR,0,1,STG MMR,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\MMR Dashboard\STG_MMR.dtsx\"""" /SERVER ""\"".\"""" /X86 /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",3,2,0,0,1
7CC55A8B-7C37-418D-BE28-6323810E0F0D,MMR,0,2,FACT MMR,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\MMR Dashboard\FACT_MMR.dtsx\"""" /SERVER ""\"".\"""" /X86 /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",1,2,0,0,1
3B1FEDA2-BE29-4470-AD49-15A106462E2E,Monitoring Inputan BPS,1,1,STG_to_DWH,SSIS,master,"/ISSERVER ""\""\SSISDB\Monitoring Inputan BPS\Monitoring BPS Sparta\STG to DWH.dtsx\"""" /SERVER ""\""BGASVR-DWH-DEV\"""" /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",1,2,0,0,1
C90F7844-0223-46FD-B3D0-6701637830B6,Monitoring Pembangkit Listrik Mill,1,1,Fact,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\DWH_POWER_MONITORING\Fact.dtsx\"""" /SERVER ""\"".\"""" /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",1,2,0,0,1
